PZN;ENR;Bearbeitungsnummer;Referenzierte Erstmeldung;Meldungsart;Beginn;Ende;Datum der letzten Meldung;Art des Grundes;Arzneimittlbezeichnung;Atc Code;Wirkstoffe;Krankenhausrelevant;Zulassungsinhaber;Telefon;E-Mail;Grund;Anm. zum Grund;Alternativpräparat;Datum der Erstmeldung;Info an Fachkreise;Darreichungsform;klassifikation
17949547;2200701;LE2026001659;LE2026000799;Änderungsmeldung;16.02.2026;31.05.2026;30.04.2026;Produktionsproblem;Efavirenz/Emtricitabin/Tenofovirdisoproxil Heumann 600 mg/200 mg/245 mg Filmtabletten;J05AR06;"Efavirenz; Emtricitabin; Tenofovirdisoproxil";nein;Heumann Pharma GmbH & Co. Generica KG;N/A;info@heumann.de;Probleme in der Herstellung;N/A;N/A;27.02.2026;Vorgesehen;Filmtablette;versrel
17949553;2200701;LE2026001659;LE2026000799;Änderungsmeldung;16.02.2026;31.05.2026;30.04.2026;Produktionsproblem;Efavirenz/Emtricitabin/Tenofovirdisoproxil Heumann 600 mg/200 mg/245 mg Filmtabletten;J05AR06;"Efavirenz; Emtricitabin; Tenofovirdisoproxil";nein;Heumann Pharma GmbH & Co. Generica KG;N/A;info@heumann.de;Probleme in der Herstellung;N/A;N/A;27.02.2026;Vorgesehen;Filmtablette;versrel
00074470;2154692;LE2026001658;LE2026001475;Änderungsmeldung;16.04.2026;13.05.2026;30.04.2026;Produktionsproblem;Sympal injekt 50 mg Injektions-/Infusionslösung;M01AE17;Dexketoprofen-Trometamol;nein;BERLIN-CHEMIE Aktiengesellschaft;030;tdrescher-welk@berlin-chemie.de;Probleme in der Herstellung;N/A;N/A;17.04.2026;Nein;Injektions-/Infusionslösung;weder versrel noch verskri
05520023;1464144;LE2026001657;LE2025000214;Änderungsmeldung;01.06.2025;30.06.2026;30.04.2026;Produktionsproblem;Mydriaticum Stulln UD;S01FA06;Tropicamid;ja;Pharma Stulln GmbH;094353008440;torsten.cornelius@pharmastulln.de;Probleme in der Herstellung;N/A;N/A;20.01.2025;Vorgesehen;Augentropfen;verskri (auch versrel)
05520052;1464144;LE2026001657;LE2025000214;Änderungsmeldung;01.06.2025;30.06.2026;30.04.2026;Produktionsproblem;Mydriaticum Stulln UD;S01FA06;Tropicamid;ja;Pharma Stulln GmbH;094353008440;torsten.cornelius@pharmastulln.de;Probleme in der Herstellung;N/A;N/A;20.01.2025;Vorgesehen;Augentropfen;verskri (auch versrel)
05520129;1464144;LE2026001657;LE2025000214;Änderungsmeldung;01.06.2025;30.06.2026;30.04.2026;Produktionsproblem;Mydriaticum Stulln UD;S01FA06;Tropicamid;ja;Pharma Stulln GmbH;094353008440;torsten.cornelius@pharmastulln.de;Probleme in der Herstellung;N/A;N/A;20.01.2025;Vorgesehen;Augentropfen;verskri (auch versrel)
09124212;1464144;LE2026001657;LE2025000214;Änderungsmeldung;01.06.2025;30.06.2026;30.04.2026;Produktionsproblem;Mydriaticum Stulln UD;S01FA06;Tropicamid;ja;Pharma Stulln GmbH;094353008440;torsten.cornelius@pharmastulln.de;Probleme in der Herstellung;N/A;N/A;20.01.2025;Vorgesehen;Augentropfen;verskri (auch versrel)
11377423;2198648;LE2026001655;LE2026001513;Änderungsmeldung;23.02.2026;15.06.2026;30.04.2026;Produktionsproblem;Brimo-Vision sine 2 mg/ml Augentropfen, Lösung im Einzeldosisbehältnis;S01EA05;Brimonidintartrat;nein;OmniVision GmbH;+49 89 840792-80;s.monat@omnivision.de;Sonstige;Grund des Lieferengpasses: Kapazitätsengpass in der Produktion beim registrierten Fertigprodukthersteller.Die 120er Packungsgröße wird voraussichtlich am 15.05.2026 wieder lieferbar sein. Die 30er Packungsgröße voraussichtlich am 19.06.2026.;N/A;21.04.2026;Nein;Augentropfen, Lösung im Einzeldosisbehältnis;versrel
11377446;2198648;LE2026001655;LE2026001513;Änderungsmeldung;23.02.2026;15.06.2026;30.04.2026;Produktionsproblem;Brimo-Vision sine 2 mg/ml Augentropfen, Lösung im Einzeldosisbehältnis;S01EA05;Brimonidintartrat;nein;OmniVision GmbH;+49 89 840792-80;s.monat@omnivision.de;Sonstige;Grund des Lieferengpasses: Kapazitätsengpass in der Produktion beim registrierten Fertigprodukthersteller.Die 120er Packungsgröße wird voraussichtlich am 15.05.2026 wieder lieferbar sein. Die 30er Packungsgröße voraussichtlich am 19.06.2026.;N/A;21.04.2026;Nein;Augentropfen, Lösung im Einzeldosisbehältnis;versrel
00524298;2184304;LE2026001654;LE2026000577;Änderungsmeldung;12.02.2026;31.05.2026;30.04.2026;Sonstige;ATORVASTATIN BASICS 40 mg Filmtabletten;C10AA05;Atorvastatin-Calcium-Trihydrat (Ph.Eur.);nein;Basics GmbH;N/A;dominik.lucke@sunpharma.com;Unzureichende Produktionskapazitäten;N/A;N/A;12.02.2026;Nein;Filmtablette;versrel
